suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.0,0,20261001,hcrd_centered,none,0.0,0.0
exact,0.0,0,20261001,hcrd_thresholded,z=3.5,1.8524898142121584e-32,1.919662460529927e-32
exact,0.0,0,20261001,hcrd_adaptive_guided,pilot-calibrated,0.008481196597276055,0.008788731038226584
exact,0.0,0,20261001,emd_residue,default,0.008552578109675866,0.008862700896888422
exact,0.0,0,20261001,vmd_low_mode,K=5;alpha=2000,0.03766883616434857,0.03903473593311241
exact,0.0,0,20261001,l1_trend_oracle,lambda=300,0.01843346200468648,0.0191018729261141
exact,0.0,0,20261001,gaussian_oracle,sigma=32,0.044773079183331496,0.04639658404120756
exact,0.0,1,20261002,hcrd_centered,none,0.0,0.0
exact,0.0,1,20261002,hcrd_thresholded,z=3.5,1.6870247045932083e-32,1.2000111096206248e-32
exact,0.0,1,20261002,hcrd_adaptive_guided,pilot-calibrated,0.010442316163970863,0.007427807887352564
exact,0.0,1,20261002,emd_residue,default,0.013552689505909746,0.009640272562725828
exact,0.0,1,20261002,vmd_low_mode,K=5;alpha=2000,0.05126658463896729,0.03646684660370829
exact,0.0,1,20261002,l1_trend_oracle,lambda=300,0.024914645697291876,0.01772223699369074
exact,0.0,1,20261002,gaussian_oracle,sigma=32,0.061306981276184266,0.04360876188026211
exact,0.0,2,20261003,hcrd_centered,none,0.0,0.0
exact,0.0,2,20261003,hcrd_thresholded,z=3.5,1.1654499025334744e-32,9.326546734275814e-33
exact,0.0,2,20261003,hcrd_adaptive_guided,pilot-calibrated,0.011755957242076549,0.009407738967246252
exact,0.0,2,20261003,emd_residue,default,0.003628672605593332,0.002903855804173492
exact,0.0,2,20261003,vmd_low_mode,K=5;alpha=2000,0.2820696873252435,0.22572708749150966
exact,0.0,2,20261003,l1_trend_oracle,lambda=300,0.030789957098647448,0.024639752700020907
exact,0.0,2,20261003,gaussian_oracle,sigma=32,0.007461335529327229,0.0059709554536072585
exact,0.0,3,20261004,hcrd_centered,none,0.0,0.0
exact,0.0,3,20261004,hcrd_thresholded,z=3.5,2.3644724360041272e-32,1.3260407433750461e-32
exact,0.0,3,20261004,hcrd_adaptive_guided,pilot-calibrated,0.015777398857087746,0.00884826288959992
exact,0.0,3,20261004,emd_residue,default,0.005620603027911336,0.0031521402000114387
exact,0.0,3,20261004,vmd_low_mode,K=5;alpha=2000,0.4786888024815322,0.2684577099831388
exact,0.0,3,20261004,l1_trend_oracle,lambda=300,0.0488920008027991,0.027419556304577666
exact,0.0,3,20261004,gaussian_oracle,sigma=32,0.00904334735787571,0.0050716797838007595
exact,0.0,4,20261005,hcrd_centered,none,0.0,0.0
exact,0.0,4,20261005,hcrd_thresholded,z=3.5,1.2678258186920741e-33,2.351930282979104e-33
exact,0.0,4,20261005,hcrd_adaptive_guided,pilot-calibrated,0.0020498167772204216,0.003802593449214382
exact,0.0,4,20261005,emd_residue,default,0.0009130014852207059,0.0016936994103107245
exact,0.0,4,20261005,vmd_low_mode,K=5;alpha=2000,0.023712161777612237,0.043988180819033273
exact,0.0,4,20261005,l1_trend_oracle,lambda=300,0.0236627986018111,0.0438966077130758
exact,0.0,4,20261005,gaussian_oracle,sigma=32,0.026690668108823045,0.04951357644920469
exact,0.0,5,20261006,hcrd_centered,none,0.0,0.0
exact,0.0,5,20261006,hcrd_thresholded,z=3.5,5.64020199744595e-32,2.1576185467153803e-32
exact,0.0,5,20261006,hcrd_adaptive_guided,pilot-calibrated,0.022063418499358393,0.008440201428905489
exact,0.0,5,20261006,emd_residue,default,0.023698976587035393,0.00906587236512377
exact,0.0,5,20261006,vmd_low_mode,K=5;alpha=2000,0.10040861939771348,0.03841059230869655
exact,0.0,5,20261006,l1_trend_oracle,lambda=300,0.08130440835484708,0.031102414324092668
exact,0.0,5,20261006,gaussian_oracle,sigma=32,0.11952622265662906,0.04572389338884601
exact,0.0,6,20261007,hcrd_centered,none,0.0,0.0
exact,0.0,6,20261007,hcrd_thresholded,z=3.5,5.103039902451098e-32,1.751886441219987e-32
exact,0.0,6,20261007,hcrd_adaptive_guided,pilot-calibrated,0.013966956847035661,0.004794891435921104
exact,0.0,6,20261007,emd_residue,default,0.013820606808336118,0.00474464909931962
exact,0.0,6,20261007,vmd_low_mode,K=5;alpha=2000,1.5400048929788117,0.5286875554561414
exact,0.0,6,20261007,l1_trend_oracle,lambda=300,0.04058519889897577,0.01393300092189772
exact,0.0,6,20261007,gaussian_oracle,sigma=32,0.0023470780460570616,0.000805757800051196
exact,0.0,7,20261008,hcrd_centered,none,0.0,0.0
exact,0.0,7,20261008,hcrd_thresholded,z=3.5,5.486727113161707e-32,1.854542936893762e-32
